Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
25000	151	64	1	0	0	0	0	503260	5	0	0	0	0	321509	0	532470	6	262498	0	232472	389296
25250	140	120	0	0	0	4011	0	508103	12	46	0	0	0	322277	0	553244	7	262954	0	229919	393428
25500	131	102	14	0	1	0	0	507341	33	0	0	0	0	316395	0	574026	7	268140	0	243891	390798
25750	207	111	0	28	0	0	0	509972	10	0	0	0	0	323287	0	539489	6	272239	0	239413	392157
26000	121	207	9	0	0	0	0	523796	6	0	0	0	1	333317	0	539842	35	274211	0	241764	407520
26250	117	149	0	0	0	0	0	542716	8	0	0	0	0	339044	0	555117	21	278888	0	255886	407709
26500	231	154	0	0	1	0	0	528258	4	0	0	0	0	335288	0	557131	6	273228	0	254587	414902
26750	131	182	45	0	0	0	0	562821	4074	0	0	0	11	350392	0	574728	8	280274	0	256158	427666
27000	174	184	0	0	0	0	0	521288	26	0	0	0	1	354385	0	543733	7	288485	0	273054	411616
27250	194	225	2	0	1	0	16	531155	16	0	0	0	0	308646	0	545253	6	290400	0	274405	426573
27500	158	80	0	4046	0	0	0	563285	34	0	13	0	1	311220	0	623313	6	294218	0	273191	416346
27750	178	95	44	0	0	0	0	572153	11	1	0	0	0	349356	0	635354	8	291137	0	258522	451548
28000	152	141	0	0	32	0	0	581527	9	60	0	0	1	352385	0	623441	6	296545	0	277841	438503
28250	208	116	0	0	2	0	0	571117	6	0	0	0	0	357445	0	612324	7	295734	0	271438	432370
28500	134	133	0	0	0	0	0	587600	28	0	0	0	2	376516	0	630767	7	306007	0	277862	427612
28750	117	210	0	0	0	0	0	585574	21	1	0	0	1	370659	0	634634	6	298585	0	273548	452760
29000	164	160	0	0	0	0	0	592531	6	3	0	0	3	375795	0	679561	8	306005	0	276371	450442
29250	182	148	2	2	2	0	0	620867	5	4025	0	0	1	379432	0	511550	6	303708	0	280716	452874
29500	126	194	0	0	2	9	0	561761	10	1	0	0	0	396348	0	718321	7	317163	0	287599	465052
29750	4237	191	0	0	2	0	0	604896	4	0	0	0	0	399463	0	710453	11	307592	8	281635	445399
30000	153	4235	0	0	1	0	0	639152	8	0	0	0	0	401801	0	714417	8	319527	0	287781	451689
30250	824	109	0	0	0	0	0	631896	8	1	0	0	0	408318	0	707202	6	319481	0	294428	458312
30500	222	127	38	0	0	0	0	632403	6303	31	0	0	0	381951	0	708915	7	326149	0	291579	466879
30750	146	157	0	7	1	0	0	655983	0	0	0	0	2	362687	0	737058	6	327440	0	306423	463104
31000	147	133	3	34	0	0	46	640438	0	6	0	0	1	419003	0	753288	7	324136	0	318873	472192
31250	148	203	13	0	1	0	0	663398	1	0	31	0	0	404172	0	696202	8	334776	0	304712	483251
31500	159	146	0	0	0	0	0	625632	11	1	0	0	1	420280	0	825107	7	332186	0	305167	477208
31750	4207	172	0	0	1	29	9	651522	0	0	0	0	8	405647	0	867137	7	337417	0	303585	481513
32000	191	196	0	0	0	0	0	707772	0	0	0	0	0	439950	0	784098	8	338174	0	307170	478400
32250	184	172	0	0	1	0	0	720218	0	0	0	0	0	432881	0	841130	6	342469	39	310637	480068
32500	159	207	0	0	1	0	0	692062	4027	0	0	0	1	432035	0	774435	6	342810	0	314229	521463
32750	158	4200	0	0	0	0	0	701675	4	0	0	0	1	456488	0	793383	7733	342334	0	331018	507725
33000	157	153	2	0	1	0	0	692774	2	0	0	0	0	451509	9	747025	6	352879	0	322811	507515
33250	209	177	0	0	0	0	0	715429	4	12	0	7	0	484892	0	941591	41	349952	0	322234	508077
33500	134	161	34	0	0	0	0	673173	2	1	0	0	0	449278	0	911069	36	356468	0	323944	507571
33750	156	172	0	0	0	0	0	707455	15	0	0	0	0	378753	0	872465	7	358019	0	323944	528732
34000	139	191	0	0	0	0	0	748943	2	1	0	0	0	430595	0	863089	6	360380	0	342468	511546
34250	142	185	0	0	1	0	0	741614	0	0	0	0	0	462314	0	785923	7	366957	0	350597	534321
34500	4196	196	0	20	27	0	0	769163	4	4018	0	0	0	459442	0	851421	24	366544	0	332900	518661
34750	170	231	0	0	1	0	0	726989	3	0	0	0	0	484104	0	989602	23	373373	0	334675	534424
35000	187	234	1	0	0	0	0	774921	34	1	0	0	0	478758	0	1014261	8	373503	0	358840	529857
